"societies_society_name","societies_society_state","societies_society_city","societies_society_meeting_info","societies_society_meeting_location","societies_society_zip_code","societies_society_website","societies_society_website_url"
"South Jersey Orchid Society","New Jersey","Wenonah","3rd Sunday, monthly. September - May, excluding December. 1:00PM","Wenonah United Methodist Church","08090","www.sjorchids.com","http://www.sjorchids.com/"
"South Metro Orchid Society","Georgia","Morrow","4th Monday, monthly. (Meetings are currently being held in non-permanent locations. Please contact the AOS Rep for details.)","P.O. Box 870844","30287-0844","",""
"South Mississippi Orchid Society","Mississippi","Hattiesburg","4th Tuesday, monthly. 7:00PM","Forest Co Hospital","39402","",""
"Southeast Texas Orchid Society","Texas","Beaumont","2nd Sunday (May & Dec., 1st Sunday), monthly, 2:30 pm.","P.O. Box 1843","77704-1843","",""
"Southeastern Pennsylvania Orchid Society","Pennsylvania","Phoenixville","2nd Wednesday, monthly (Sept - June). 7:00PM","First United Methodist Church","19460","https://www.sepos.org/","https://www.sepos.org/"
"Southern Ontario Orchid Society","Ontario","Toronto","1st Sunday, monthly, except July at Toronto Botanical Garden, 777 Lawrence Ave E, Toronto, ON M3C 1P2","189 Soudan Ave.","M4S 1V5","http://www.soos.ca/","http://www.soos.ca/"
"Southern Tier Orchid Society","New York","Endicott","3rd Sunday, monthly, September through May. 2:00 PM","First United Methodist Church Of Endicott","13760","https://www.southerntierorchids.org/","https://www.southerntierorchids.org/"
"Southwest Florida Orchid Society","Florida","Fort Myers","2nd Tuesday, monthly. 7:00PM","Faith United Methodist Church","33908","www.swfos.org","http://www.swfos.org/"
"Southwest Regional Orchid Growers Association (SWROGA)","Oklahoma","","Bi-Annual Meetings at SWROGA-Sponsored Shows in the Spring and Fall. Please visit www.SWROGA.org for details!","SWROGA Spring And Fall Sponsored Shows","","www.swroga.org","http://www.swroga.org/"
"Spokane Orchid Society","Washington","Spokane","2nd Wednesday, monthly, except for August (picnic) and December (holiday party). 7:00PM.","Manito Park Meeting Room","99203","www.spokaneorchidsociety.org","http://www.spokaneorchidsociety.org/"
"Springfield Orchid Society","Missouri","Monett","3rd Tuesday, monthly, 7:00 pm","C/O Mrs. Carol Nutt","65708","www.springfieldorchidsociety.org","http://www.springfieldorchidsociety.org/"
"St Thomas-St John Orchid Society","Saint Thomas Island","St. Thomas","1st Sunday, monthly, Residence of Society Members","PO Box 11938","00801-4938","",""
"St. Augustine Orchid Society","Florida","St Augustine","1st Tuesday, monthly, 6:30 pm","Memorial Lutheran Church","32086","https://staugorchidsociety.org/","https://staugorchidsociety.org/"
"St. Croix Orchid Society","Saint Croix Island","Frederiksted","Last Sunday of the month except on February, August, and December. 2:00PM","St. George Village Botanical Garden","00840","",""
"Staten Island Orchid Society","New York","Staten Island","3rd Tuesday, monthly, 6:00 pm at All Saints Episcopal Church, 2329 Victory Blvd, Staten Island, NY 10314","c/o Colman Rutkin","10301","www.siosonline.com","http://www.siosonline.com/"
"Suffolk Orchid Society - USA","New York","Yaphank","2nd Monday, monthly September - June, 7:30 pm at Emma Clark Library, 120 Main St., Setauket, NY","c/o 388 Shannon Blvd","11980-9727","www.suffolkorchids.com","http://www.suffolkorchids.com/"
"Susquehanna Orchid Society","Pennsylvania","Mechanicsburg","3rd Sunday monthly, 1:30 pm.","1533 Inverness Drive","17011","www.susquehanna-orchid.org","http://www.susquehanna-orchid.org/"
"Taiwan Orchid Breeders Society","Taiwan","Changhua County","Once a year, one Saturday in November or December. The definite date will be published on Facebook (https://goo.gl/nxWcP3), 9:00 am - 2:00 pm","No.251, Miaozhuan 2nd Rd.","00524","http://www.tobs.com.tw","http://www.tobs.com.tw/"
"Taiwan Orchid Growers Association(TOGA)","Taiwan","Tainan County 731","1st Monday, monthly at 10:00 am","c/o Niggy Lee","","",""
"Tallahassee Orchid Society","Florida","Tallahassee","2nd Thursday, monthly, 7:00 pm at the Leon County Extension Office, 615 Paul Russell Rd., Tallahassee, FL.","1408 Pullen Rd","32303","www.tallyorchid.org","http://www.tallyorchid.org/"
"Tampa Bay Orchid Society","Florida","Tampa","3rd Thursday, monthly. Check the website for changes. 6:30 pm","Good Shepherd Lutheran Church","33609","www.tampabayorchidsociety.shutterfly.com","http://www.tampabayorchidsociety.shutterfly.com/"
"Tampa Orchid Club, Inc.","Florida","Tampa","4th Tuesday, monthly. 10:00 AM","Northdale Recreation Center","33624","https://tampaorchidclub.shutterfly.com/","https://tampaorchidclub.shutterfly.com/"
"Tampico Orchid Society","Texas","Houston","Second Tuesday, monthly at 7:30 pm.","c/o Janette Abrahamsson","77077","",""
"Tauranga Orchid Society","Northland","Tauranga Bay of Plenty","3rd Tuesday, monthly. February-November Inclusive. 7:00PM","Wesley Church Hall","3112","Https://Taurangaorchids.Wordpress.Com/","http://https//Taurangaorchids.Wordpress.Com/"
"Terrebonne Orchid Society","Louisiana","Chauvin","2nd Wednesday, monthly, 6:30 pm., Terrebonne Parrish Main Library, 151 Civic Center Blvd., Houma, LA 70360","208 Rhonda St.","70344","www.terrebonneorchidsociety.com","http://www.terrebonneorchidsociety.com/"
"The Greater Cincinnati Orchid Society","Ohio","Cincinnati","2nd Tuesday, Monthly; No Meetings In July, August, And December. 7:00 PM","Civic Garden Center","45206","cincinnatiorchids.org","http://cincinnatiorchids.org/"
"The Mount Baker Orchid Society","Washington","Bellingham","4th Tuesday, monthly, 7:00 pm, except July and December","3112 Alderwood Avenue","98225","http://orchid-society.net/mt-baker/","http://orchid-society.net/mt-baker/"
"The Orchid Society of Middle Tennessee","Tennessee","Nashville","3rd Tuesday, monthly, 7:00 pm","Cheekwood Botanical Gardens - Botanical Hall (Potter Room)","37205","www.tnorchid.com","http://www.tnorchid.com/"
"The Orchid Society of Western Australia","State of Western Australia","Manning","Usually on the 4th Friday of each month. 7:30pm","Manning Senior Citizens Activity Centre","6152","http://www.orchidsocietywa.net.au/","http://www.orchidsocietywa.net.au/"
"The Peninsula Orchid Society of Virginia","Virginia","Newport News","","c/o Vance Mason","23605","www.virginiapeninsulaorchidsociety.com","http://www.virginiapeninsulaorchidsociety.com/"
"The Pleurothallid Alliance","Michigan","Howell","no info provided","c/o 1721 Peavy Rd","48843","www.pleurothallids.com/The_Pleurothallid_Alliance.htm","http://www.pleurothallids.com/The_Pleurothallid_Alliance.htm"
"Three Rivers Orchid Society, Inc.","Indiana","Fort Wayne","1st Sunday, monthly, 1:30 pm., call for information","2020 Forest Downs Dr.","46815-7864","",""
"Tidewater Orchid Society","Virginia","Norfolk","1st Sunday, monthly. Last Sunday in August. No Sept, July, or December meetings. 2:00PM","Norfolk Botanical Gardens (Administration Building Auditorium)","23518","http://tidewaterorchidsociety.org/","http://tidewaterorchidsociety.org/"
"Tip of Texas Orchid Society","Texas","Weslaco","1st Sunday, monthly, except July and August, 2:00 PM","Valley Nature Center","78596","http://www.totorchidsociety.org/","http://www.totorchidsociety.org/"
"Toronto Artistic Orchid Association","Ontario","Toronto","3rd Saturday, (Jan., March, Jul., Sept., Nov.) Chinese Cultural Center of Greater Toronto, 5183 Sheppard Ave., East, Scarborough, Ontario","Attn: Tenny Chan","M2M 2E4","",""
"Townsville Orchid Society, Inc.","State of Queensland","Kirwan","4th Sunday, monthly, 1:00PM, except December.","The Orchid Hall - Joe Kirwan Park","4817","http://www.townsvilleorchidsociety.org.au","http://www.townsvilleorchidsociety.org.au/"
"Treasure Valley Orchid Society","Idaho","Boise","3rd Wednesday, monthly, 7:30 pm.","P O Box 9732","83707-4732","www.treasurevalleyorchidsociety.org/","http://www.treasurevalleyorchidsociety.org/"
"Triad Orchid Society","North Carolina","Winston-Salem","2nd Sunday, monthly, noon. May meeting is the 3rd Sunday due to Mother's Day.","Reynolda Gardens Greenhouse Education Room","27106","http://www.triadorchidsociety.org/","http://www.triadorchidsociety.org/"
"Triangle Orchid Society","North Carolina","Raleigh","2nd Monday, monthly, 7:30 pm.","J.C. Raulston Arboretum at North Carolina State University","27606","http://triangleorchidsociety.org/","http://triangleorchidsociety.org/"
"Tri-Cities Orchid Society","Washington","Kennewick","3rd Tuesday, monthly, 7:00PM","Edison Elementary School","99336","www.scworchidsociety.org","http://www.scworchidsociety.org/"
"Trinidad & Tobago Orchid Society","City of Port of Spain","","3rd Sunday, monthly, 10:00 AM","","","www.ttorchids.net","http://www.ttorchids.net/"
"Tropical Orchid Society","Florida","West Palm Beach","4th Thursday, monthly, except November and December. 7:00PM","Mounts Botanical Gardens","33415","tropicalorchidsociety.org","http://tropicalorchidsociety.org/"
"Tropical Plant Society of Modesto, Inc.","California","Modesto","3rd Tuesday, monthly, 7:30 pm., except June, July & August","1348 Kiernan Avenue","95356","",""
"Tucson Orchid Society","Arizona","Tucson","3rd Wednesday, monthly, 7:30 pm","c/o Wes Addison","85712","http://www.orchidsocietytucson.org/","http://www.orchidsocietytucson.org/"
"Tulsa Orchid Society, Inc.","Oklahoma","Tulsa","2nd Sunday of each month, except July. Also, in May we meet the first Sunday because of Mother's Day. 1:30 PM","Tulsa Garden Center","74114","",""
"Tweed District Orchid Society, Inc.","","Tweed Heads South NSW","","PO Box 6470","2486","",""
"Utah Orchid Society, Inc.","Utah","Salt Lake City","2nd Monday, monthly, 7:30 pm.","2965 Oakridge Dr.","84109","",""
"Vancouver Orchid Society","British Columbia","Vancouver","4th Wednesday, monthly, 6:30 pm, excluding Dec, July, and August.","Floral Hall, Vandusen Botanical Garden","V6M 4H1","www.vancouverorchidsociety.ca","http://www.vancouverorchidsociety.ca/"
"Venice Area Orchid Society","Florida","Venice","1st Wednesday, monthly, excluding July and December. 7:30 PM","Venice Community Center","34284","www.vaos.org","http://www.vaos.org/"
"Ventura County Orchid Society","California","Ventura","Meetings are held on the 4th Tuesday of the month January through October, 6:45 PM. No meeting are held in November and December.","Ventura Townhouse, across from the Ventura College","93003","",""
"Vero Beach Orchid Society","Florida","Vero Beach","3rd Thursday, monthly except December, 7:00 pm, Garden Club of Indian River County, 2526 17th Ave., Vero Beach, FL.","P.O. Box 543","32961-0543","www.verobeachorchidsociety.org","http://www.verobeachorchidsociety.org/"
"Victoria Orchid Society","British Columbia","Victoria","4th Monday, monthly except July, August, and December. 7:30PM","Gordon Head United Church","V8N 3R9","www.victoriaorchidsociety.com","http://www.victoriaorchidsociety.com/"
"Virginia Orchid Society","Virginia","Henrico","3rd Sunday, monthly, September through May; excluding December. 1PM - 4PM","Please See Website/Newsletter for details.","23228","www.vaorchidsociety.org","http://www.vaorchidsociety.org/"
"Virtual Orchids Society","San Juan","Santurce","2nd Monday Monthly, 7:00 PM","Vladimir's Place","00911","www.orchid-adicto.com","http://www.orchid-adicto.com/"
"Volusia County Orchid Society","Florida","DeLand","3rd Wednesday, monthly except December, 7:00 pm","Volusia County Fairgrounds - Agricultural Auditorium","32724","www.volusiacountyorchidsociety.com","http://www.volusiacountyorchidsociety.com/"
"Waverly Orchid Society","Pennsylvania","Gladwyne","Monthly, 9:00 AM","Waverly Greenhouse","19035-1265","",""
"West Shore Orchid Society of Northern Ohio","Ohio","Brookpark","3rd Wednesday, alternate months, 6:00 pm.","c/o John M. Rini","44142","",""
"Western North Carolina Orchid Society","North Carolina","Asheville","2nd Sunday, monthly, 2:00 pm.","Asheville Visitor Center","28801","www.wncos.org","http://www.wncos.org/"
"Whangarei Orchid Society","","Whangarei","","PO Box 1408","0104","",""
"Willamette Orchid Society","Oregon","Eugene","3rd Wednesday, monthly except July & August, 7:30 pm at IOOF Building, 1233 Charnelton St., Eugene, OR 97401.","c/o Alicia Remington","97404","",""
"Windsor Orchid Society","Ontario","Windsor","Last Sunday, monthly, Sept - May (Excluding December). Check The Website In Case Of A Meeting Date Change. 1:30 PM","Gethsemane Lutheran Church","N9G 1C7","http://www.windsororchidsociety.ca/","http://www.windsororchidsociety.ca/"
"Windward Orchid Society, Inc.","Hawaii","Kaneohe","1st Wednesday, monthly, 7:00 pm (except June & December)","S.W. King Intermediate School","96744","http://www.windwardorchidsociety.org/","http://www.windwardorchidsociety.org/"
"Wisconsin Orchid Society","Wisconsin","Milwaukee","1st Sunday, monthly, 1:30 pm.","c/o Paul Keuler","53207-1753","www.wisconsinorchidsociety.com","http://www.wisconsinorchidsociety.com/"
"Worcester County Horticultural Society","Maine","Boylston","Please Contact for Date and Time","Tower Hill Botanic Garden","01505","https://www.towerhillbg.org/","https://www.towerhillbg.org/"
"Yakima Orchid Society","Washington","Yakima","2nd Wednesday, monthly except January and July, 7:00 pm.","Yakima Area Arboretum or member's home","98901","",""
